name,free_returns,items_sold,status=,shipping,price_sold
TOTTENHAM HOTSPUR  Pennant LOGO,False,,Brand New,0,2500
TOTTENHAM HOTSPUR FOOTBALL JERSEY SOCCER SHIRT UNDER A,False,,Pre-Owned,1505,3000
Tottenham Hotspur FC Official Soccer Boys Retro Track Jacket - Navy 6/7,True,,Brand New,0,3999
NWT NIKE  Tottenham Hotspur 2019 THIRD  Jersey Men's XL,False,,Brand New,1065,8999
Tottenham Hotspur New Era Blue Stripe Pom Beanie Officially Licensed,True,,Brand New,495,3795
RARE!!! Tottenham Hotspur Soccer Nike Crest T-Shirt - White AQ7471 100 Size XXL,False,,Brand New,499,2499
Nike Tottenham Hotspur 2020 - 2021 Away Soccer Jersey New Navy Green morgan #13,False,,Brand New,796,13500
Nike Women's M Tottenham Hotspur 2017 White Kit Soccer Jersey Futbol Football,False,,Pre-Owned,925,2499
Vintage Adidas Tottenham Hotspur Soccer Jersey Size Men’s Large,False,,Pre-Owned,600,7000
Tottenham Hotspur FC 3D Club Crest Fridge Magnet - Authentic EPL,True,,Brand New,0,1088
NIKE Tottenham Hotspur 2018/2019 Home Jersey Inaugural Match Men’s Large,False,,Pre-Owned,550,9999
Tottenham Hotspur FC 2016 2017 Home Football Shirt Soccer Jersey Top Mens size L,False,,Pre-Owned,999,3519
🔥 Puma Tottenham Hotspur #3 Gareth Bale Soccer Jersey L EPL Premier League ⚽️ ,False,,Pre-Owned,1099,8900
L Nike Tottenham FC Gareth Bale 2020/2021 Yellow 3rd Third Jersey Kit EPL Patch,False,,Pre-Owned,0,3999
NWT Nike Tottenham Hotspur Track Cargo Pants Sz Large - CK8507 429,False,,Brand New,0,4945
Puma Tottenham Hotspur 2007/2008 Football Soccer Home Shirt Jersey - Men’s 2XL,True,,Pre-Owned,615,2999
Nike 20/21 Tottenham Hotspur Stadium Air Max Soccer Jersey Medium M CW1308-090,False,,Brand New,625,9000
TOTTENHAM HOTSPUR 2015/2016 HOME FOOTBALL SHIRT JERSEY TOP UNDER ARMOUR MEN’S L,False,,Pre-Owned,1000,2999
2017-18 Nike Youth Tottenham Hotspur #10 Away Soccer Jersey Extra Large XL Boy,False,,Pre-Owned,705,3999
Nike Vaporknit Tottenham Hotspur XL 20/21 3rd Match Jersey Yellow CK7660-720 NEW,True,,Brand New,699,6206
Nike TOTTENHAM HOTSPUR 17/18 Women's Jersey Soccer Football 896326 430 Medium,False,,Brand New,500,4410
,False,,,0,
Nike Tottenham Hotspur Kane #10 2017/18 Away Football Shirt Soccer Jersey Mens S,False,,Pre-Owned,400,5500
Tottenham Hotspur FC  - White Hart Lane Street Sign Bar Room Official New Sealed,False,,Brand New,0,1699
TOTTENHAM HOTSPUR 1991 1992 1993 HOME FOOTBALL SHIRT SOCCER JERSEY UMBRO,False,,Pre-Owned,999,12999
5+/5 Tottenham Hotspur 2007/2008 home Sz M Puma shorts 125 years soccer football,False,,Pre-Owned,0,6295
TOTTENHAM HOTSPUR BLUE SIZE 5 SOCCER BALL OFFICIALLY LICENSED ,False,,Brand New,0,2695
NIKE TOTTENHAM HOTSPUR HOME JERSEY SIZE XL SOCCER WHITE NWT $90 RETAIL WOMENS,False,,Brand New,540,3299
Nike Tottenham Hotspurs FC Breathe Squad Top 2018/19  2XL Pullover Soccer ,False,,Pre-Owned,595,4799
Tottenham Hotspur FC New Era 9Forty Navy Crest Cap,True,,Brand New,0,3499
Tottenham Hotspur Men’s Blue EPL Soccer Sweatshirt - Nike - Small - Spurs,False,,Pre-Owned,495,2699
Tottenham Hotspur FC Spurs Football Shirt Soccer Jersey Top Nike Womens size M,False,,Pre-Owned,999,3599
Nike Tottenham Hotspur 2020-2021 Home Vaporknit Jersey CD4196 101 Size Large,False,,Brand New,0,9999
"Tottenham Hotspur Soccer Fleece Blanket 50"" x 60"" Officially Licensed",False,,Brand New,625,2099
Men's Tottenham Hotspur Golf Polo size 3XL XXXL official merchandise Premier ,False,,Pre-Owned,1065,2800
Nike Vaporknit Tottenham Hotspur 20/21 3rd Match Jersey Men’s Size XL ,True,,Brand New,0,8999
Tottenham Hotspur F.C. Under Armour Jersey Medium White,False,,Pre-Owned,700,3400
Tottenham Hotspur #6 Huddlestone 2009/2010 Home Size M Puma Spurs shirt jersey,False,,Pre-Owned,999,4495
Harry Kane T-Shirt Tottenham London #10 Fan TEE Navy Blue *NEW ,False,,Brand New,0,2185
TOTTENHAM HOTSPUR SPURS 2017 2018 HOME FOOTBALL SOCCER SHIRT JERSEY NIKE MENS M ,False,,Pre-Owned,1499,4999
HEUNG MIN SON TOTTENHAM SOCCERSTARZ MINI SOCCER FIGURE OFFICIALLY LICENSED,False,,Brand New,295,995
New ListingTOTTENHAM HOTSPUR SHIRT JERSEY HOME 2016-2017 #11 LAMELA SIZE KIDS YOUTH XL ,False,,Pre-Owned,999,999
Nike Tottenham Hotspur 20/21 Pre Match Jersey Size Small,False,,Brand New,550,5500
Tottenham Hotspur Kappa Football Shirt Away 2003/2004 Spurs Soccer Jersey Size M,False,,Pre-Owned,1000,5000
Nike Vaporknit Tottenham Hotspur 2020-2021 Home Soccer Jersey 2XL CD4196-101,False,,Brand New,0,8999
$90 Nike Tottenham Hotspur 2020-21 Women's XS Home Soccer Jersey CD4416-101 NWT,False,,Brand New,0,4999
NWT NIKE Tottenham Hotspur 2018/2019 Away Jersey Youth XL,False,,Brand New,625,3999
2016-17 Under Armour Youth Tottenham Hotspur Home Soccer Jersey Shorts XL Spurs,False,,Brand New,400,1500
TOTTENHAM HOTSPUR FOOTBALL SHIRT 1977/80 ADMIRAL RETRO REPLICAS SIZE S,True,,Pre-Owned,1500,6999
Tottenham Hotspur New Era 9FIFTY EPL Adjustable Football Hat - Navy Blue,False,,Brand New,0,3799
"Tottenham Hotspur New Era Blue ""Waffle"" Cuff Beanie Officially Licensed",True,,Brand New,395,3695
Tottenham Hotspur New Era White Adjustable Baseball Hat Officially Licensed,True,,Brand New,495,3795
Tottenham 2008/09 Puma Away Soccer jersey football shirt Size Large,True,,Pre-Owned,0,2999
2016-17 Under Armour Men's Tottenham Son Heung-min Soccer Jersey XXL 2XL Spurs,False,,Brand New,400,6000
Tottenham Hotspur FC Crest Fridge Magnet,False,,Brand New,0,999
Nike Tottenham Hotspur FC Spurs Soccer 1/2 Zip Track Jacket Mens Sz M CK8487-429,True,,Brand New,0,6507
Under Armour Tottenham Hotspur Women's Soccer Navy Fitted Jersey Shirt - SZ XL,False,,Brand New,540,4500
Womens Large Nike Soccer Jersey Tottenham Hotspurs 20/21 Stadium Away CD4415-398,True,,Brand New,625,3995
Tottenham Hotspur Puma Blue Men's Jersey #10 Chamuco Large,True,,Pre-Owned,530,1800
New 2017/2018 Nike Tottenham Hotspur Son Heung Min Away Jersey Shirt Kit Spurs,False,,Brand New,0,29999
TOTTENHAM HOTSPUR 2002 2003 HOME FOOTBALL SHIRT JERSEY KAPPA # 15 REDKNAPP MENS ,False,,Pre-Owned,999,13999
Tottenham Hotspur 2014/2015 Home Size M Under Armour Spurs shirt jersey maillot,False,,Pre-Owned,999,2695
TOTTENHAM HOTSPUR TRAINING FOOTBALL SOCCER WARM UP JACKET NIKE 895419-406 sz M,False,,Pre-Owned,1999,4499
Pennant Tottenham Hotspur - Liverpool England Final 2019,False,,,599,1499
"NEW by NIKE, MEN'S SIZE XL, TOTTENHAM 'BLANK' GOALKEEPER JERSEY, MSRP $80.00!",False,,Brand New,430,3100
tottenham hotspur jersey,False,,Pre-Owned,600,3000
MENS FC TOTTENHAM HOTSPUR SPURS 2015/2016 TRAINING JACKET SOCCER FOOTBALL SIZE L,False,,Pre-Owned,1800,6479
Tottenham Hotspur Under Armour Blue Youth size Medium,False,,Pre-Owned,488,2600
Tottenham Official Men's Rain Jacket 1/2 Zip - Navy- XL,True,,Brand New,0,4899
Tottenham Hotspur FC Flag - White Crest,True,80,Brand New,0,1688
MEN'S NIKE TOTTENHAM HOTSPUR 2018/2019 SHORTS PANTALONES FOOTBALL SOCCER SIZE L,False,,Pre-Owned,1200,3959
Tottenham Hotspur Player Issue 2018/2019 Home Shirt Jersey Vaporknit Nike Size S,False,,Pre-Owned,1000,4500
MEN'S TOTTENHAM HOTSPUR 2011/2012 SHORTS PANTALONES FOOTBALL SOCCER SIZE L LARGE,False,,,1200,3599
Tottenham Hotspur crest Shirt NFL Nike Mens Med Spurs Navy blue,False,,Brand New,0,2999
TOTTENHAM HOTSPUR 1991-1992-1993 HOME FOOTBALL SHIRT SOCCER JERSEY UMBRO AWAY XL,False,,Pre-Owned,900,12000
"Tottenham Hotspur 1882 Shirt, White, XL, EUC",True,,Pre-Owned,0,1795
$165 Nike Tottenham Hotspur 3rd  Vaporknit Match Soccer Jersey Men's 2XL NWT !,False,,Brand New,599,7999
FC TOTTENHAM HOTSPUR Home 2010 2011 Shirt Jersey Puma,False,,Pre-Owned,1505,2500
Nike Tottenham Hotspur 2020/21 Stadium Home CD4256-101 Size XXL MSRP $90,False,,Brand New,0,6999
Tottenham Hotspur FC White Home Puma Shirt 2010/2011 Season,False,,Pre-Owned,1000,4500
Nike Tottenham Hotspur 2019/2020 Third Soccer Jersey Youth XLarge XL Boys,False,,Brand New,515,6500
NIKE Tottenham Hotspur Windrunner Woven JACKET MEN'S SIZES XL & XXL NWT,False,,Brand New,1599,8499
TOTTENHAM HOTSPUR FOOTBALL JACKET ADMIRAL SIZE M,True,,Pre-Owned,2500,4499
NWT NIKE Tottenham Hotspur 2018/2019 Third Stadium Jersey Youth Small,False,,Brand New,1065,7499
Tottenham Hotspur FC Size 1 Skill Ball - Authentic EPL,True,,Brand New,0,1788
Nike Football Track Jacket Pullover Tottenham Hotspur FC Spurs Mens Large New ,False,,Brand New,0,6500
Tottenham Hotspur #18 Clark 2008/2009 3rd Sz XL Puma Spurs shirt jersey maillot,False,,Pre-Owned,999,2245
,False,,,0,
"NWT Tottenham Hotspur, 'Spurs Kids Kit Pajamas', Boys Size (11/12)",True,,Brand New,0,2469
Nike Tottenham Hotspurs AWF Men's Lightweight Football Jacket Sz XL (CK8574 719,False,,Brand New,0,7000
Under Armour Tottenham Hotspur Heat Gear Soccer Jersey EPL 2015 16 Soccer Kit L ,True,,Pre-Owned,400,5599
Tottenham Hotspur 2006/2007 Home Sz L Puma shirt jersey soccer football maillot,False,,Pre-Owned,999,3145
Nike Tottenham Hotspur Harry Kane Mens Small Football Soccer Jersey NWT,False,,Brand New,525,3995
Tottenham Hotspur 1995/1996/1997 Goalkeeper XXL Pony soccershirt jersey GK 2XL,False,,Pre-Owned,1499,8096
Under Armor Tottenham Hotspur Premier League Soccer white  Jersey Size L Mens,False,,Brand New,1065,5999
Nike Tottenham Hotspur NFL On Field Jersey Size Large Yellow Blue CV9946-731 New,True,,Brand New,975,8995
MEN'S NIKE FC TOTTENHAM HOTSPUR SOCCER FOOTBALL Navy SHIRT SIZE Small Short,False,,Brand New,540,3200
Vintage 1997-1999 Tottenham Hotspur Home Jersey  - Pony - XL,False,,Brand New,0,12000
Tottenham Hotspur Authentic Nike Dri-Fit Soccer Jersey Womens XS NWT MSRP$90,False,,Brand New,550,5249
TOTTENHAM HOTSPUR HOME FOOTBALL SHIRT 2019/2020 SOCCER JERSEY NIKE MENS S,False,,Pre-Owned,999,5599
X-Large Tottenham Hotspur FC Crest Fridge Magnet and Bottle Opener,False,,Brand New,0,1499
TOTTAHAM HOTSPUR 2018/2019 AWAY Kids Size XL 13-15Years NIKE shirt jersey soccer,False,,Pre-Owned,0,3495
Tottenham Hotspur Soccer Gilet Jacket Body Warmer Quilted Coat Youth Size Large,False,,Pre-Owned,655,3000
5+/5 Tottenham Hotspur 2016/2017 Away Size 2XL shirt jersey football soccer XXL,False,,Pre-Owned,0,8996
TOTTENHAM HOTSPUR 1991 1993 HOME FOOTBALL SHIRT SOCCER JERSEY UMBRO VINTAGE,False,,Pre-Owned,999,11000
Nike Vaporknit Tottenham Hotspur 20/21 Green Match Jersey CD4195-398 Men's 2XL,False,,Brand New,0,13900
TOTTENHAM – NEW ERA KNITTED POM BEANIE,True,,Brand New,0,2995
Tottenham Hotspur 2016/17 Mens Sz XXL Under Armour Football Shirt Jersey Soccer,False,,Pre-Owned,599,3499
Vtg Umbro Tottenham HotSpur 1991 - 95 Away 3rd Yellow Jersey Men’s XL Made In UK,False,,Pre-Owned,0,6797
Tottenham Hotspur Training football soccer shirt jersey Nike size M,False,,Pre-Owned,1200,3300
MENS FC TOTTENHAM HOTSPUR SPURS TRAINING JACKET TRACK TOP SOCCER FOOTBALL SIZE L,False,,Pre-Owned,1500,4319
SIZE S TOTTENHAM HOTSPUR AWAY FOOTBALL SHIRT 2008-2009 JERSEY CAMISETA SMALL,False,,Pre-Owned,999,2499
Nike Vaporknit Tottenham Hotspur 2020-2021 Home Soccer Jersey CD4196-101 Sz XXL,False,,Brand New,0,9998
