name,free_returns,items_sold,status=,shipping,price_sold
Wilson T3000 Vintage Steel Tennis Racket Racquet Light Grip 4 1/8 w/ Cover ,False,,Pre-Owned,1595,1500
Prince O3 Speed Port White Tennis Racquet TX208A100,True,,Pre-Owned,1595,2459
"VINTAGE 1983 PRINCE PRO ALUMINUM STRUNG TENNIS RACQUET 4-1/2""  WITH CASE",True,,Pre-Owned,1595,2400
GRANDCOW Paddle Tennis Racket Carbon Fiber Power Lite Pop **READ**,False,,Brand New,1000,16500
Prince Thunderstick Longbody 115 Morph beam Tennis Racquet STILL LOOKS GOOD,False,,Pre-Owned,890,4999
HEAD EXTREME MP Tennis Racquet Racket ,False,,Pre-Owned,0,7499
Dunlop Biomimetic 200 Tour Tennis Racquet,False,,Pre-Owned,880,4000
New Listingdonnay tennis racquet. ITT/25,False,,Pre-Owned,1270,700
Wilson Matrix Comp Tennis Racket Size 110 Black/Blue,False,,Pre-Owned,880,1500
One Head Speed MP Graphene  360 Tennis Racket - 4 3/8 Grip,False,,Pre-Owned,1595,15900
"Wilson Roger Federer 25"" Tennis Racket Racquet Youth Size 3 7/8"" grip Brand New",False,,New (Other),0,3499
New ListingWilson Pro Staff Classic 6.1 Si Tennis Racquet Grip (2) 4 1/4,False,,Pre-Owned,1035,2650
Head Oversize Constant Beam Agassi Tennis Racket Racquet 4 1/4 Grip,False,,Pre-Owned,930,1500
PRINCE VTG 3 Tennis Racket Lot with PRECISION MONO and 1983 Pro 90 and Green 110,False,,Pre-Owned,1595,6800
VINTAGE Kneissl Racket Form System Fully Synthetic Light 4 1/2 Made In Austria ,True,,Pre-Owned,1233,2999
2x- Babolat Tennis Rackets (:2-Pure Drive) Stars And Stripes Edition.,False,,Pre-Owned,0,22000
"Wilson Hyper Hammer 5.3 Tennis Racquet Racket 110"" 16x20 Unisex (Grip 4 3/8"")",False,,Brand New,0,11900
Pancho Gonzales vintage Spalding wooden tennis racket,False,,Pre-Owned,0,2200
Wilson T3000 Tennis Racket Steel Metal Frame 1970s Vintage Racquet Medium 4 1/2,True,,Pre-Owned,0,2099
New ListingWilson BLX Six One Tour 90 Roger Federer Autograph Tennis Racquet Racket 4 1/2,True,,Pre-Owned,1599,19800
Vintage Tennis Racket,False,,Pre-Owned,1595,1999
WILSON T-3000 STEEL TENNIS RACKET MADE IN USA ,False,,Pre-Owned,2365,2382
New Listingwilson advantage tennis racket,False,,Pre-Owned,1495,5500
Prince Power Pro Tennis Racquet Cover,False,,Pre-Owned,0,1299
"New ListingHEAD AIRFLOW 3 PINK GRIP 4 1/8"" TENNIS RACKET",False,,Pre-Owned,1085,4900
Wilson Adult Recreational Tennis Racket,False,,Pre-Owned,1595,1410
New HEAD Speed Junior Tennis Racquet For Beginners.Blue Size 25 8-10 Years,False,,Brand New,0,2300
New ListingVintage Wilson Jack Kramer Super Stroke Wooden Tennis Racquet w Regent Case,False,,Pre-Owned,1295,1799
Wilson Impact Tennis Racquet,False,,Pre-Owned,1154,2300
Wilson Midsize Jack Kramer Autograph Graphite Reinforced Wooden Racket 4 3/8L,False,,Pre-Owned,700,4500
New ListingVintage Spalding TRACY AUSTIN Wood Tennis Racket / Racquet light 4 1/4,False,,Pre-Owned,1225,2995
Garcia Pro Royal Wood Tennis Racket,False,,Pre-Owned,1425,999
Wilson Graphite/Ceramic Composite Tennis Racket White/Blue Leather Grip,False,,Pre-Owned,930,3000
Head Extreme Spin Tennis Racket 4 1/4 Grip New!,False,,Brand New,0,13500
Wilson Ultra Comp Tennis Racket - Grip Size 3 (4 3/8) 9.5 Oz 103 Sq in 16x20,False,,Pre-Owned,1270,1800
Head Graphite Edge XL Tennis Racket 4 5/8 XSL 5 with Case,False,,Pre-Owned,880,2399
New ListingClassic Prince Woodie Tennis Racquet Wood Graphite With Cover 4 1/4 Grip,False,,Pre-Owned,1516,2999
❤️ Optima Flex Pro Carbon Frame Paddleball Racquet  SoftFeel + Carrying Case,True,,Pre-Owned,0,3999
Wilson Ultra 2 Braided Graphite Midsize PWS Tennis Racket Grip 4 5/8,False,,Pre-Owned,0,6999
"New ListingPrince EXO3 Tour 100 16x18, 4 1/4 Excellent 9.5/10 Tennis Racquet includes case.",False,,Pre-Owned,900,8900
New ListingHead Ti S7 Tennis racket 4 1/2 Grip size Very Nice,True,,Pre-Owned,0,6900
New Listing1 PAIR Baligh Carbon Fiber Tennis Racket High-grade Multicolor New In Packaged,False,,Brand New,15,2000
New Listingjack kramer autograph tennis racket,False,,New (Other),1795,15000
2x Wilson US Open Tennis Racquet Junior,False,,Pre-Owned,1154,3000
 COBRA TEAM FX TENNIS RACKET,False,,Pre-Owned,1499,99
New ListingWilson Pro Staff RF97 Tennis Racket - WR043711-U3,False,,Brand New,2500,22000
New ListingWilson Triad 4.0 Tennis Racquet,False,,Pre-Owned,1500,1999
Prince Power Line Lite Oversize OS Tennis Racquet 4 1/2 inch grip,False,,Pre-Owned,1065,1500
"Slazenger Smash 25 - Junior Kids 25"" Tennis Racket Racquet black, lime green New",False,,Brand New,1035,2490
New Listingvintage Spalding Ashley Cooper Tennis Racket With Case,False,,Pre-Owned,1795,3000
"New ListingWilson Ultra Tour 97 18X20 V2 tennis racket 4 3/8 L3, Very Good Condition",False,,Pre-Owned,1899,17999
New ListingHead Ti. Carbon 9001 PZ Xtralong Tennis Racquet Racket Oversize (((New Grip))),False,,Pre-Owned,1630,2999
"**NEW** 2019 HEAD GRAPHENE 360+ INSTINCT ""PWR"" TENNIS RACQUET (4 1/8) UNSTRUNG",False,,Brand New,0,15995
New Listingantique tennis racket,False,,Pre-Owned,1595,1150
Wilson Cobra Tennis Racket,False,,Pre-Owned,1595,900
